cliente_id,segmento_padrao,status_padrao,data_entrada,cpf_hash,email_hash,telefone_hash
C001,Private,ativo,2023-08-12,8af5bc102340ea68592e6d6c,c0d55b03aba2348f0045e125,388a80816214e72b90de6166
C002,Private,ativo,2024-03-08,0f028bdb8c28083619598ea6,52ed20289f38fcca3708c593,91d42b6494ce74d694bd2cdc
C003,Private,inativo,2024-04-15,9d08945df28c3d45ec720b4d,216724c04c50fc3564e02b35,0185be3e0c4ec8261a7022e8
C004,Alta Renda,ativo,2023-08-27,81fe813d8df333e413d35338,aedeabef198a52549bebf663,d3762c9c9d14fc7e92742845
C005,Varejo,inativo,2023-06-25,905e3c2749c9381642ceb96a,98e11454a9e0f58cf91f50b4,cded1864720c529eb1899a31
C006,Alta Renda,inativo,2023-10-02,825ccb71f7678fc3867af176,98e11454a9e0f58cf91f50b4,1f035335f97e4ee772b89b6a
C007,Varejo,inativo,2023-09-27,c70609dfdb0769baa867f07a,0910221bade00bc1be50f0e1,76f6aa081c877994069c82d2
C008,Private,ativo,2023-06-06,a859400b8e9f9584481ce87e,378118815b1f03425fa5a52e,abb7393e8c80e053408116b0
C009,Varejo,ativo,2023-12-15,4faf3aaf27812f31f6381e00,cead70b76ab6ab26ed7f7302,1e565705547a534acd162f04
C010,Alta Renda,inativo,2024-06-03,e5338c33a088d6bb1e2fbd43,ca933296fd1c3d16e7d1635e,bca6d18e10c66b270b9379b1
C011,Alta Renda,ativo,2023-03-01,8a2f2472604b8f906bc87bf8,d8f65b88d8e124080d828b1b,0b28366b5766d711cc60aa94
C012,Private,inativo,2023-06-19,7c47ec5a973ce1c04554ee14,95cea9b0d7666a6c1fba54d0,7e084a755427f02ac87f828a
C013,Private,ativo,2023-01-22,7a3cd086db086827dcb92bfc,ab919f38905231e4acbfe454,1355e4acb811071a9df572b7
C014,Private,inativo,2023-09-01,eb0315edca8b591e0975c9bd,31d01052f4d53c9c5ece3a03,49929862cfcc391be0365f34
C015,Private,ativo,2024-03-17,a5300c9c19f8ecb8429e6d77,b4c847abde38dd7711906c02,4ff4fe52e9869c25b552f354
C016,Varejo,inativo,2024-04-04,e4419b17afa7b2822a81a2f9,ca164fbd3bb8682fbdd19043,cef765e6265dc2c62ea8ae8b
C017,Private,ativo,2023-06-20,418813f62312851e4490fc4e,99de4f905f123a363ca54a96,9dc6982b2bd90a9c8d482622
C018,Varejo,inativo,2024-05-13,e3a4df6f72cc3b8d4c705bdd,250545fe4bb9cc30e7eb1af3,
C019,Private,inativo,2023-03-24,650d9b0c647d94daf59ecfa6,6ca4c39809d4b262b592e0e4,8d2deb5e8cf8fc6abe94ccbe
C020,Alta Renda,ativo,2023-11-18,0cd644ef0a6a7aa9d452155a,4d3c5f328c6d76db36e3c417,dc5e88cd4aa3dc542579e45b
C021,Varejo,ativo,2024-06-02,14f38afa161418b0345fe3c6,b84193fc98536c18f500e6d9,46333efce4622cc65da24fc5
C022,Varejo,inativo,2024-06-25,60d6964b59e7dc2a96f04d4a,91ad88b3c7127753b30677e5,f53b324be0aad35ca048a09d
C023,Varejo,ativo,2023-12-18,cf551f7af51d3fdccda456f1,56a267b10177db4661b7469d,1285105e429d93418dee8fb9
C024,Alta Renda,ativo,2023-09-26,988950d478305e3e61216395,0e58bc8723bb07dfc48a20a5,e2d161a69add37cf79c91163
C025,Varejo,inativo,2023-06-01,8a86cf09dda6758ee9555326,8acf62ba7a63190fc1459131,cf09778b1c0d7410fff4b1b4
C026,Varejo,inativo,2023-06-08,81ce2f019709680e2a1c955d,99f8ff27d8dd9b72f857a905,
C027,Varejo,inativo,2023-04-21,7076b293446308748ec4badb,7f50a639c6e6b085d109bb33,40b85ad234acf8275db96458
C028,Private,inativo,2023-07-17,6c1fc637cfb1ea473948e5fe,6fce7ac7bcb81d9dae941cac,0ecd9836567c8f175bd1befe
C029,Private,ativo,2023-07-02,58fd4b9206faf91237b0f908,f2e589ff6cba6b7d5254afe5,b94804449898382c846c9c63
C030,Varejo,ativo,2023-09-18,1e66c1a77f7923098bf48854,bc74f0c038016db160a598da,
C031,Alta Renda,inativo,2023-11-13,e40fdbe6461624b934d32d87,40dd35a05230365c96a5cb95,1a7a743b0c420e886f53f2ad
C032,Varejo,ativo,2023-11-08,87f6700a8193d68339abc9b5,d1019194739e9336c2ed8400,
C033,Varejo,inativo,2023-03-28,5a648b0741e638b5ffdfd0df,e19256f84feb7ed216ba4f6e,
C034,Private,ativo,2024-05-01,0585b91a29dd4dbcdb385cbc,666b041dbb366aa5d6d327f9,bda014a5f326d7d7c87ee05b
C035,Private,ativo,2024-03-11,6da97b2f48efd0481b3ada12,c7b172886e8f69e3914762df,a185d95e8851dd977d00d12f
C036,Private,inativo,2024-05-31,ec585d9830e0662f1e6950ee,4322542bd2da97cb2d7760a6,c86a83c94c20e3206641d0cb
C037,Alta Renda,inativo,2023-03-21,b4918414a3bfe71dcbadef7a,d17cc4bf2ff7a89e079b2d80,3c731bbce357a4993ab1b225
C038,Varejo,inativo,2023-08-08,323367cf9821dbb9d8689e88,a487ce55a3ea388f073ae2f3,
C039,Varejo,inativo,2024-05-03,825223be9c66340ccc42255b,ef9f1b0a86d9a8ff28df20e5,945a3f46192e30c11f1630b8
C040,Private,inativo,2023-01-30,a2d1836dce7a69dbeb2bdbbc,6fdb90c230bb077bec2f570a,1adfcdf3acebf4bd4a5e31aa
